customer_id,snapshot,inferred_interval,interval_confidence,interval_reason,recommendation,reason,detail,auto_decided,churn_probability,expected_dollar_churn,decision_reason,with_recommendation,with_p_churn,with_decision_reason,without_recommendation,without_p_churn,without_decision_reason,recommendations_agree,comparison_narrative,model_version,n_events,median_gap_days
Jjhy2cnBfemdbRFF,2025-03-05,monthly,0.791,"We inferred **monthly billing (about every month)** because the typical gap between billing days is about 30 days, which matches monthly billing (about every month) across 4 observed cycle(s) (about 100% of gaps fit that pattern) and spacing looks very regular Confidence in this label is **79%**.",No-Go,high_churn_risk,"churn_prob 0.99 vs Continue<= 0.45, No-Go>= 0.70.",true,0.99,17.26,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (79%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.99,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (79%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.9856,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (79%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",true,"Both models agree on **No-Go**. Adding the inferred interval changed churn probability by +0.4% (with=99%, without=99%).",20260712_032913,5,30.5
tVuzK4lze15ZURQD,2025-03-05,monthly,0.7923,"We inferred **monthly billing (about every month)** because the typical gap between billing days is about 30 days, which matches monthly billing (about every month) across 22 observed cycle(s) (about 100% of gaps fit that pattern) and spacing looks fairly regular Confidence in this label is **79%**.",No-Go,high_churn_risk,"churn_prob 0.97 vs Continue<= 0.45, No-Go>= 0.70.",true,0.9656,349.39,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **97%** (high risk). That sits above the No-Go threshold, and interval confidence (79%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.9656,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **97%** (high risk). That sits above the No-Go threshold, and interval confidence (79%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.9667,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **97%** (high risk). That sits above the No-Go threshold, and interval confidence (79%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",true,"Both models agree on **No-Go**. Adding the inferred interval changed churn probability by -0.1% (with=97%, without=97%).",20260712_032913,23,30.5
EYpdH2Jsr62Q92ud,2025-03-05,monthly,0.6168,"We inferred **monthly billing (about every month)** because the typical gap between billing days is about 1 days, which matches monthly billing (about every month) across 10 observed cycle(s) (about 100% of gaps fit that pattern) and spacing looks somewhat uneven Confidence in this label is **62%**.",No-Go,high_churn_risk,"churn_prob 0.99 vs Continue<= 0.45, No-Go>= 0.70.",true,0.9912,183.29,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (62%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.9912,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (62%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.9927,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (62%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",true,"Both models agree on **No-Go**. Adding the inferred interval changed churn probability by -0.1% (with=99%, without=99%).",20260712_032913,11,1.0
nHM4cOQaUSVU9kcM,2025-03-05,monthly,0.7316,"We inferred **monthly billing (about every month)** because the typical gap between billing days is about 28 days, which matches monthly billing (about every month) across 3 observed cycle(s) (about 100% of gaps fit that pattern) and spacing looks very regular Confidence in this label is **73%**.",No-Go,high_churn_risk,"churn_prob 0.99 vs Continue<= 0.45, No-Go>= 0.70.",true,0.99,17.25,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (73%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.99,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (73%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.9914,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (73%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",true,"Both models agree on **No-Go**. Adding the inferred interval changed churn probability by -0.1% (with=99%, without=99%).",20260712_032913,4,28.0
d9JPT7QTTJisL8vt,2025-03-05,monthly,0.6607,"We inferred **monthly billing (about every month)** because the typical gap between billing days is about 26 days, which matches monthly billing (about every month) across 1 observed cycle(s) (about 100% of gaps fit that pattern) Confidence in this label is **66%**.",No-Go,high_churn_risk,"churn_prob 0.80 vs Continue<= 0.45, No-Go>= 0.70.",true,0.8031,8.12,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **80%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.8031,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **80%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.7134,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **71%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",true,"Both models agree on **No-Go**. Adding the inferred interval changed churn probability by +9.0% (with=80%, without=71%).",20260712_032913,2,26.0
zaG2LGdrDwKiTMq9,2025-03-05,irregular,0.3,We inferred **irregular / no clear calendar billing cycle** because the gaps between invoices (typical gap ≈ 1 days) do not line up cleanly with monthly / quarterly / semi-annual / annual calendars Confidence in this label is **30%**.,Review,low_interval_confidence,interval_confidence 0.30 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,0.982,191.94,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 30% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.982,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 30% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.9697,We recommended **Review** (trained WITHOUT inferred-interval features) because the billing-cycle signal is too uncertain (confidence 30% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,true,"Both models agree on **Review**. Adding the inferred interval changed churn probability by +1.2% (with=98%, without=97%).",20260712_032913,10,1.0
6lB6FtfwyaBug9Xe,2025-03-05,annual,0.7997,"We inferred **annual billing (about once a year)** because the typical gap between billing days is about 365 days, which matches annual billing (about once a year) across 1 observed cycle(s) (about 100% of gaps fit that pattern) Confidence in this label is **80%**.",No-Go,high_churn_risk,"churn_prob 0.83 vs Continue<= 0.45, No-Go>= 0.70.",true,0.8318,32.25,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **83%** (high risk). That sits above the No-Go threshold, and interval confidence (80%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.8318,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **83%** (high risk). That sits above the No-Go threshold, and interval confidence (80%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.819,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **82%** (high risk). That sits above the No-Go threshold, and interval confidence (80%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",true,"Both models agree on **No-Go**. Adding the inferred interval changed churn probability by +1.3% (with=83%, without=82%).",20260712_032913,2,365.0
jmC1p3HlOWnsnXrX,2025-03-05,irregular,0.1275,We inferred **irregular / no clear calendar billing cycle** because the gaps between invoices (typical gap ≈ 1 days) do not line up cleanly with monthly / quarterly / semi-annual / annual calendars Confidence in this label is **13%**.,Review,low_interval_confidence,interval_confidence 0.13 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,0.99,75.14,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 13% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.99,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 13% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.9914,We recommended **Review** (trained WITHOUT inferred-interval features) because the billing-cycle signal is too uncertain (confidence 13% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,true,"Both models agree on **Review**. Adding the inferred interval changed churn probability by -0.1% (with=99%, without=99%).",20260712_032913,11,1.0
P1Q7c4SmfrOkItWB,2025-03-05,irregular,0.0892,We inferred **irregular / no clear calendar billing cycle** because the gaps between invoices (typical gap ≈ 1 days) do not line up cleanly with monthly / quarterly / semi-annual / annual calendars Confidence in this label is **9%**.,Review,low_interval_confidence,interval_confidence 0.09 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,0.99,75.13,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 9% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.99,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 9% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.9914,We recommended **Review** (trained WITHOUT inferred-interval features) because the billing-cycle signal is too uncertain (confidence 9% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,true,"Both models agree on **Review**. Adding the inferred interval changed churn probability by -0.1% (with=99%, without=99%).",20260712_032913,11,1.0
aEbzlnymPZqlDSBY,2025-03-05,monthly,0.9177,"We inferred **monthly billing (about every month)** because the typical gap between billing days is about 31 days, which matches monthly billing (about every month) across 25 observed cycle(s) (about 100% of gaps fit that pattern) and spacing looks very regular Confidence in this label is **92%**.",Review,borderline_churn_risk,"churn_prob 0.57 vs Continue<= 0.45, No-Go>= 0.70.",false,0.5736,269.47,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **57%** (elevated risk). That sits between the Continue and No-Go bands (or still needs analyst judgment), so the recommendation is **Review**.",Review,0.5736,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **57%** (elevated risk). That sits between the Continue and No-Go bands (or still needs analyst judgment), so the recommendation is **Review**.",Review,0.4566,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **46%** (elevated risk). That sits between the Continue and No-Go bands (or still needs analyst judgment), so the recommendation is **Review**.",true,"Both models agree on **Review**. Adding the inferred interval changed churn probability by +11.7% (with=57%, without=46%).",20260712_032913,26,31.0
x95ngpX6neRnkgWv,2025-03-05,irregular,0.3,We inferred **irregular / no clear calendar billing cycle** because the gaps between invoices (typical gap ≈ 1 days) do not line up cleanly with monthly / quarterly / semi-annual / annual calendars Confidence in this label is **30%**.,Review,low_interval_confidence,interval_confidence 0.30 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,0.99,62.28,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 30% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.99,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 30% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.9856,We recommended **Review** (trained WITHOUT inferred-interval features) because the billing-cycle signal is too uncertain (confidence 30% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,true,"Both models agree on **Review**. Adding the inferred interval changed churn probability by +0.4% (with=99%, without=99%).",20260712_032913,11,1.0
WVo1z7m2b21aosBn,2025-03-05,irregular,0.0892,We inferred **irregular / no clear calendar billing cycle** because the gaps between invoices (typical gap ≈ 1 days) do not line up cleanly with monthly / quarterly / semi-annual / annual calendars Confidence in this label is **9%**.,Review,low_interval_confidence,interval_confidence 0.09 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,0.99,340.88,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 9% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.99,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 9% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.9697,We recommended **Review** (trained WITHOUT inferred-interval features) because the billing-cycle signal is too uncertain (confidence 9% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,true,"Both models agree on **Review**. Adding the inferred interval changed churn probability by +2.0% (with=99%, without=97%).",20260712_032913,11,1.0
JPs6w9sTncS1inF7,2025-03-05,irregular,0.05,We inferred **irregular / no clear calendar billing cycle** because the gaps between invoices (typical gap ≈ 1 days) do not line up cleanly with monthly / quarterly / semi-annual / annual calendars Confidence in this label is **5%**.,Review,low_interval_confidence,interval_confidence 0.05 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,0.99,79.51,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 5% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.99,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 5% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.9914,We recommended **Review** (trained WITHOUT inferred-interval features) because the billing-cycle signal is too uncertain (confidence 5% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,true,"Both models agree on **Review**. Adding the inferred interval changed churn probability by -0.1% (with=99%, without=99%).",20260712_032913,11,1.0
